wavelength,D65,X,Y,Z,light_skin
380.0,49.9755,0.001368,3.9e-05,0.006450001,0.103
390.0,54.6482,0.004243,0.00012,0.02005001,0.141
400.0,82.7549,0.01431,0.000396,0.06785001,0.182
410.0,91.486,0.04351,0.00121,0.2074,0.197
420.0,93.4318,0.13438,0.004,0.6456,0.201
430.0,86.6823,0.2839,0.0116,1.3856,0.205
440.0,104.865,0.34828,0.023,1.74706,0.212
450.0,117.008,0.3362,0.038,1.77211,0.224
460.0,117.812,0.2908,0.06,1.6692,0.24
470.0,114.861,0.19536,0.09098,1.28764,0.262
480.0,115.923,0.09564,0.13902,0.8129501,0.282
490.0,108.811,0.03201,0.20802,0.46518,0.293
500.0,109.354,0.0049,0.323,0.272,0.301
510.0,107.802,0.0093,0.503,0.1582,0.321
520.0,104.79,0.06327,0.71,0.07824999,0.322
530.0,107.689,0.1655,0.862,0.04216,0.298
540.0,104.405,0.2904,0.954,0.0203,0.292
550.0,104.046,0.4334499,0.9949501,0.008749999,0.3
560.0,100.0,0.5945,0.995,0.0039,0.295
570.0,96.3342,0.7621,0.952,0.0021,0.305
580.0,95.788,0.9163,0.87,0.001650001,0.358
590.0,88.6856,1.0263,0.757,0.0011,0.435
600.0,90.0062,1.0622,0.631,0.0008,0.494
610.0,89.5991,1.0026,0.503,0.00034,0.53
620.0,87.6987,0.8544499,0.381,0.00019,0.55
630.0,83.2886,0.6424,0.265,4.999999e-05,0.564
640.0,83.6992,0.4479,0.175,2e-05,0.574
650.0,80.0268,0.2835,0.107,-1.01643953671e-20,0.59
660.0,80.2146,0.1649,0.061,-1.69406589451e-21,0.605
670.0,82.2778,0.0874,0.032,0.0,0.624
680.0,78.2842,0.04677,0.017,2.35098870164e-38,0.652
690.0,69.7213,0.0227,0.00821,0.0,0.682
700.0,71.6091,0.01135916,0.004102,0.0,0.713
710.0,74.349,0.005790346,0.002091,0.0,0.745
720.0,61.604,0.002899327,0.001047,0.0,0.762
730.0,69.8856,0.001439971,0.00052,0.0,0.783
740.0,75.087,0.0006900786,0.0002492,0.0,0.791
750.0,63.5927,0.0003323011,0.00012,0.0,0.789
760.0,46.4182,0.0001661505,6e-05,0.0,0.801
770.0,66.8054,8.307527e-05,3e-05,0.0,0.771
780.0,63.3828,4.150994e-05,1.499e-05,0.0,0.734
